name,                    price,  build, build-req, desc
"REINFORCD INDX FINGR",  100,    0,     1,         "62,63"
"CARPAL TNNEL PRVENTN",  500,    0,     1,         "62,63"
"AMBIDEXTROUS",           10e3,  0,     10,        "62,63"
"THOUSAND FINGERS",      100e3,  0,     25,        "64,65,66"
"MILLION FINGERS",        10e6,  0,     50,        "67,68"
"BILLION FINGERS",       100e6,  0,     100,       "67,69"
"TRILLION FINGERS",        1e9,  0,     150,       "67,70"
"QUADRILLION FINGERS",    10e9,  0,     200,       "67,70"
"QUINTILLION FINGERS",    10e12, 0,     250,       "67,70"
"SEXTILLION FINGERS",     10e15, 0,     300,       "67,70"
"SEPTILLION FINGERS",     10e18, 0,     350,       "67,70"
"OCTILLION FINGERS",      10e21, 0,     400,       "67,70"
"NONILLION FINGERS",      10e24, 0,     450,       "67,70"
"DECILLION FINGERS",      10e27, 0,     500,       "67,70"
"UNDECILLION FINGERS",    10e30, 0,     550,       "67,70"
"FWDS FROM GRANDMA",       1e3,  1,     1,         "71,63"
"STEEL ROLLING PINS",      5e3,  1,     5,         "71,63"
"LUBRICATED DENTURES",    50e3,  1,     25,        "71,63"
"PRUNE JUICE",             5e6,  1,     50,        "71,63"
"DOUBLE-THICK GLASSES",  500e6,  1,     100,       "71,63"
"AGING AGENTS",           50e9,  1,     150,       "71,63"
"XTREME WALKERS",         50e12, 1,     200,       "71,63"
"THE UNBRIDLING",         50e15, 1,     250,       "71,63"
"REVERSE DEMENTIA",       50e18, 1,     300,       "71,63"
"TIMEPROOF HAIR DYES",    50e21, 1,     350,       "71,63"
"GOOD MANNERS",          500e24, 1,     400,       "71,63"
"GENRATION DEGENRATON",    5e30, 1,     450,       "71,63"
"VISITS",                 50e33, 1,     500,       "71,63"
"KITCHEN CABINETS",      500e36, 1,     550,       "71,63"
"FOAM-TIPPED CANES",       5e42, 1,     600,       "71,63"
"CHEAP HOES",             11e3,  2,     1,         "72,63"
"FERTILIZER",             55e3,  2,     5,         "72,63"
"COOKIE TREES",          550e3,  2,     25,        "72,63"
"GMO COOKIES",            55e6,  2,     50,        "72,63"
"GINGRBRED SCARECROWS",  5.5e9,  2,     100,       "72,63"
"PULSAR SPRINKLERS",     550e9,  2,     150,       "72,63"
"FUDGE FUNGUS",          550e12, 2,     200,       "72,63"
"WHEAT TRIFFIDS",        550e15, 2,     250,       "72,63"
"HUMANE PESTICIDES",     550e18, 2,     300,       "72,63"
"BARNSTARS",             550e21, 2,     350,       "72,63"
"LINDWORMS",             5.5e27, 2,     400,       "72,63"
"GLOBAL SEED VAULT",      55e30, 2,     450,       "72,63"
"REVERSE-VEGANISM",      550e33, 2,     500,       "72,63"
"COOKIE MULCH",          5.5e39, 2,     550,       "72,63"
"SELF-DRIVING TRACTRS",   55e42, 2,     600,       "72,63"
"SUGAR GAS",             120e3,  3,     1,         "73,63"
"MEGADRILL",             600e3,  3,     5,         "73,63"
"ULTRADRILL",              6e6,  3,     25,        "73,63"
"ULTIMADRILL",           600e6,  3,     50,        "73,63"
"H-BOMB MINING",          60e9,  3,     100,       "73,63"
"COREFORGE",               6e12, 3,     150,       "73,63"
"PLANETSPLITTERS",         6e15, 3,     200,       "73,63"
"CANOLA OIL WELLS",        6e18, 3,     250,       "73,63"
"MOLE PEOPLE",             6e21, 3,     300,       "73,63"
"MINE CANARIES",           6e24, 3,     350,       "73,63"
"BORE AGAIN",             60e27, 3,     400,       "73,63"
"AIR MINING",            600e30, 3,     450,       "73,63"
"CARAMEL ALLOYS",          6e33, 3,     500,       "73,63"
"DELICIOUS MINERALOGY",   60e39, 3,     550,       "73,63"
"MINESHAFT SUPPORTS",    600e42, 3,     600,       "73,63"
"STRDIER CONVYOR BLTS",  1.3e6,  4,     1,         "74,63"
"CHILD LABOR",           6.5e6,  4,     5,         "74,63"
"SWEATSHOP",              65e6,  4,     25,        "74,63"
"RADIUM REACTORS",       6.5e9,  4,     50,        "74,63"
"RECOMBOBULATORS",       650e9,  4,     100,       "74,63"
"DEEP-BAKE PROCESS",      65e12, 4,     150,       "74,63"
"CYBORG WORKFORCE",       65e15, 4,     200,       "74,63"
"78-HOUR DAYS",           65e18, 4,     250,       "74,63"
"MACHINE LEARNING",       65e21, 4,     300,       "74,63"
"BROWNIE POINT SYSTEM",   65e24, 4,     350,       "74,63"
""VOLUNTEER" INTERNS",   650e27, 4,     400,       "74,63"
"BEHAVIORAL REFRAMING",  6.5e33, 4,     450,       "74,63"
"THE INFINITY ENGINE",    65e36, 4,     500,       "74,63"
"N-DIM ASSMBLY LINES",   650e39, 4,     550,       "74,63"
"UNIVERSAL AUTOMATION",  6.5e45, 4,     600,       "74,63"
"TALLER TELLERS",         14e6,  5,     1,         "75,63"
"SCSSR-RESISTNT CARDS",   70e6,  5,     5,         "75,63"
